model,exercise,target,condition,metric,value
transformer,deadlift,11110,unseen,exact_match,0.0
transformer,deadlift,11110,unseen,macro_f1,0.18031746031746032
transformer,deadlift,11110,unseen,micro_f1,0.26455026455026454
transformer,squat,000000,seen,bit_accuracy,0.4703703703703704
transformer,squat,000000,seen,exact_match,0.0
transformer,squat,000000,seen,macro_f1,0.0
transformer,squat,000000,seen,micro_f1,0.0
transformer,squat,000000,unseen,bit_accuracy,0.5259259259259259
transformer,squat,000000,unseen,exact_match,0.0
transformer,squat,000000,unseen,macro_f1,0.0
transformer,squat,000000,unseen,micro_f1,0.0
transformer,squat,000001,seen,bit_accuracy,0.6888888888888888
transformer,squat,000001,seen,exact_match,0.19999999999999998
transformer,squat,000001,seen,macro_f1,0.16049382716049382
transformer,squat,000001,seen,micro_f1,0.5356500224921278
transformer,squat,000001,unseen,bit_accuracy,0.5222222222222223
transformer,squat,000001,unseen,exact_match,0.0
transformer,squat,000001,unseen,macro_f1,0.14814814814814814
transformer,squat,000001,unseen,micro_f1,0.37738791423001944
transformer,squat,000101,seen,bit_accuracy,0.7925925925925926
transformer,squat,000101,seen,exact_match,0.13333333333333333
transformer,squat,000101,seen,macro_f1,0.24470899470899474
transformer,squat,000101,seen,micro_f1,0.6783625730994153
transformer,squat,000101,unseen,bit_accuracy,0.7666666666666666
transformer,squat,000101,unseen,exact_match,0.06666666666666667
transformer,squat,000101,unseen,macro_f1,0.2706349206349206
transformer,squat,000101,unseen,micro_f1,0.6761695906432749
transformer,squat,010101,seen,bit_accuracy,0.7907407407407407
transformer,squat,010101,seen,exact_match,0.3
transformer,squat,010101,seen,macro_f1,0.44656084656084655
transformer,squat,010101,seen,micro_f1,0.8215488215488215
transformer,squat,010101,unseen,bit_accuracy,0.7462962962962963
transformer,squat,010101,unseen,exact_match,0.0
transformer,squat,010101,unseen,macro_f1,0.3222222222222222
transformer,squat,010101,unseen,micro_f1,0.7115600448933782
transformer,squat,100001,seen,bit_accuracy,0.7555555555555555
transformer,squat,100001,seen,exact_match,0.06666666666666667
transformer,squat,100001,seen,macro_f1,0.2762345679012346
transformer,squat,100001,seen,micro_f1,0.6685802469135802
transformer,squat,100001,unseen,bit_accuracy,0.7333333333333334
transformer,squat,100001,unseen,exact_match,0.0
transformer,squat,100001,unseen,macro_f1,0.3132716049382716
transformer,squat,100001,unseen,micro_f1,0.6917874396135266
transformer,squat,100101,seen,bit_accuracy,0.9194444444444444
transformer,squat,100101,seen,exact_match,0.6
transformer,squat,100101,seen,macro_f1,0.44462081128747794
transformer,squat,100101,seen,micro_f1,0.9007864488808228
transformer,squat,100101,unseen,bit_accuracy,0.7861111111111111
transformer,squat,100101,unseen,exact_match,0.0
transformer,squat,100101,unseen,macro_f1,0.3253968253968254
transformer,squat,100101,unseen,micro_f1,0.7489378717448893
transformer,squat,101001,seen,bit_accuracy,0.8333333333333334
transformer,squat,101001,seen,exact_match,0.39999999999999997
transformer,squat,101001,seen,macro_f1,0.46230158730158727
transformer,squat,101001,seen,micro_f1,0.8365027045300879
transformer,squat,101001,unseen,bit_accuracy,0.6777777777777777
transformer,squat,101001,unseen,exact_match,0.06666666666666667
transformer,squat,101001,unseen,macro_f1,0.38359788359788355
transformer,squat,101001,unseen,micro_f1,0.684407096171802
