model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
gru,deadlift,00010,123,0,0,0.015151515151515152,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
gru,deadlift,00010,123,1,0,0.07575757575757576,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
gru,deadlift,00010,123,2,0,0.12121212121212122,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
gru,deadlift,00010,123,3,1,0.5151515151515151,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
gru,deadlift,00010,123,4,0,1.0,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
gru,deadlift,00010,42,0,0,0.3939393939393939,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
gru,deadlift,00010,42,1,0,0.8181818181818182,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
gru,deadlift,00010,42,2,0,0.3333333333333333,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
gru,deadlift,00010,42,3,1,0.7424242424242424,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
gru,deadlift,00010,42,4,0,0.8484848484848485,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
gru,deadlift,00010,7,0,0,0.22727272727272727,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
gru,deadlift,00010,7,1,0,0.5,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
gru,deadlift,00010,7,2,0,0.0,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
gru,deadlift,00010,7,3,1,0.7424242424242424,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
gru,deadlift,00010,7,4,0,0.9393939393939394,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
gru,deadlift,00100,123,0,0,0.9090909090909091,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
gru,deadlift,00100,123,1,0,0.09090909090909091,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
gru,deadlift,00100,123,2,1,0.13636363636363635,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
gru,deadlift,00100,123,3,0,0.13636363636363635,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
gru,deadlift,00100,123,4,0,0.3181818181818182,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
gru,deadlift,00100,42,0,0,1.0,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
gru,deadlift,00100,42,1,0,0.0,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
gru,deadlift,00100,42,2,1,0.3181818181818182,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
gru,deadlift,00100,42,3,0,0.0,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
gru,deadlift,00100,42,4,0,1.0,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
gru,deadlift,00100,7,0,0,1.0,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
