model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
ssm,squat,000001,0,57.333333333333336,0.0,0.3696969696969697,43.333333333333336,112.66666666666667,67.33333333333333,0.6259259259259259,55.0,1.0,78.0
ssm,squat,000001,1,57.333333333333336,0.0,0.709090909090909,0.0,39.333333333333336,140.66666666666666,0.21851851851851853,55.0,1.0,78.0
ssm,squat,000001,2,57.333333333333336,0.0,0.47878787878787876,7.0,38.333333333333336,141.66666666666666,0.21296296296296294,55.0,1.0,78.0
ssm,squat,000001,3,57.333333333333336,0.0,0.3090909090909091,21.0,91.0,89.0,0.5055555555555555,55.0,1.0,78.0
ssm,squat,000001,4,57.333333333333336,0.0,0.9575757575757575,0.0,10.0,170.0,0.05555555555555555,55.0,1.0,78.0
ssm,squat,000001,5,57.333333333333336,1.0,0.8787878787878788,6.666666666666667,24.0,156.0,0.13333333333333333,55.0,1.0,78.0
ssm,squat,000101,0,57.333333333333336,0.0,0.6969696969696969,28.666666666666668,113.0,97.0,0.5380952380952381,22.0,2.0,83.66666666666667
ssm,squat,000101,1,57.333333333333336,0.0,0.5151515151515151,10.0,39.333333333333336,170.66666666666666,0.1873015873015873,22.0,2.0,83.66666666666667
ssm,squat,000101,2,57.333333333333336,0.0,0.8939393939393939,0.0,38.333333333333336,171.66666666666666,0.18253968253968253,22.0,2.0,83.66666666666667
ssm,squat,000101,3,57.333333333333336,1.0,0.8333333333333334,40.0,142.0,68.0,0.6761904761904761,22.0,2.0,83.66666666666667
ssm,squat,000101,4,57.333333333333336,0.0,0.9090909090909092,0.0,10.0,200.0,0.047619047619047616,22.0,2.0,83.66666666666667
ssm,squat,000101,5,57.333333333333336,1.0,0.393939393939394,5.0,40.0,170.0,0.19047619047619047,22.0,2.0,83.66666666666667
ssm,squat,010101,0,57.333333333333336,0.0,0.19999999999999998,1.6666666666666667,116.33333333333333,102.66666666666667,0.5312024353120243,15.0,3.0,27.333333333333332
ssm,squat,010101,1,57.333333333333336,1.0,0.2222222222222222,15.333333333333334,193.0,26.0,0.8812785388127854,15.0,3.0,27.333333333333332
ssm,squat,010101,2,57.333333333333336,0.0,1.0,5.333333333333333,38.333333333333336,180.66666666666666,0.17503805175038054,15.0,3.0,27.333333333333332
ssm,squat,010101,3,57.333333333333336,1.0,0.9777777777777779,0.0,148.0,71.0,0.6757990867579909,15.0,3.0,27.333333333333332
ssm,squat,010101,4,57.333333333333336,0.0,1.0,0.0,10.0,209.0,0.045662100456621,15.0,3.0,27.333333333333332
ssm,squat,010101,5,57.333333333333336,1.0,0.9555555555555556,5.0,35.0,184.0,0.1598173515981735,15.0,3.0,27.333333333333332
ssm,squat,100001,0,57.333333333333336,1.0,0.673076923076923,42.333333333333336,117.33333333333333,62.666666666666664,0.6518518518518518,52.0,2.0,93.0
ssm,squat,100001,1,57.333333333333336,0.0,0.7692307692307692,0.0,37.333333333333336,142.66666666666666,0.2074074074074074,52.0,2.0,93.0
ssm,squat,100001,2,57.333333333333336,0.0,0.5961538461538461,18.333333333333332,36.666666666666664,143.33333333333334,0.20370370370370372,52.0,2.0,93.0
ssm,squat,100001,3,57.333333333333336,0.0,0.5384615384615384,29.666666666666668,89.0,91.0,0.49444444444444446,52.0,2.0,93.0
ssm,squat,100001,4,57.333333333333336,0.0,0.9423076923076922,1.6666666666666667,10.0,170.0,0.05555555555555555,52.0,2.0,93.0
ssm,squat,100001,5,57.333333333333336,1.0,0.7564102564102564,1.0,38.333333333333336,141.66666666666666,0.21296296296296294,52.0,2.0,93.0
ssm,squat,100101,0,57.333333333333336,1.0,0.5648148148148148,17.0,120.33333333333333,78.66666666666667,0.6046901172529313,36.0,3.0,62.0
ssm,squat,100101,1,57.333333333333336,0.0,0.9351851851851851,0.3333333333333333,36.666666666666664,162.33333333333334,0.1842546063651591,36.0,3.0,62.0
ssm,squat,100101,2,57.333333333333336,0.0,0.8240740740740741,0.0,38.333333333333336,160.66666666666666,0.19262981574539365,36.0,3.0,62.0
ssm,squat,100101,3,57.333333333333336,1.0,0.14814814814814814,44.666666666666664,145.66666666666666,53.333333333333336,0.7319932998324958,36.0,3.0,62.0
ssm,squat,100101,4,57.333333333333336,0.0,0.9259259259259259,0.0,10.0,189.0,0.05025125628140704,36.0,3.0,62.0
ssm,squat,100101,5,57.333333333333336,1.0,0.8240740740740741,0.0,34.0,165.0,0.1708542713567839,36.0,3.0,62.0
