model,exercise,target,seed,condition,metric,value
ssm,squat,000000,7,unseen,micro_f1,0.0
ssm,squat,000000,7,unseen,bit_accuracy,0.7
ssm,squat,000000,7,unseen,exact_match,0.0
ssm,squat,000001,123,seen,macro_f1,0.16666666666666666
ssm,squat,000001,123,seen,micro_f1,0.43478260869565216
ssm,squat,000001,123,seen,bit_accuracy,0.5666666666666667
ssm,squat,000001,123,seen,exact_match,0.0
ssm,squat,000001,123,unseen,macro_f1,0.16666666666666666
ssm,squat,000001,123,unseen,micro_f1,0.47619047619047616
ssm,squat,000001,123,unseen,bit_accuracy,0.6333333333333333
ssm,squat,000001,123,unseen,exact_match,0.0
ssm,squat,000001,42,seen,macro_f1,0.125
ssm,squat,000001,42,seen,micro_f1,0.375
ssm,squat,000001,42,seen,bit_accuracy,0.6666666666666666
ssm,squat,000001,42,seen,exact_match,0.0
ssm,squat,000001,42,unseen,macro_f1,0.16666666666666666
ssm,squat,000001,42,unseen,micro_f1,0.5263157894736842
ssm,squat,000001,42,unseen,bit_accuracy,0.7
ssm,squat,000001,42,unseen,exact_match,0.0
ssm,squat,000001,7,seen,macro_f1,0.16666666666666666
ssm,squat,000001,7,seen,micro_f1,0.3333333333333333
ssm,squat,000001,7,seen,bit_accuracy,0.3333333333333333
ssm,squat,000001,7,seen,exact_match,0.0
ssm,squat,000001,7,unseen,macro_f1,0.16666666666666666
ssm,squat,000001,7,unseen,micro_f1,0.3333333333333333
ssm,squat,000001,7,unseen,bit_accuracy,0.3333333333333333
ssm,squat,000001,7,unseen,exact_match,0.0
ssm,squat,000101,123,seen,macro_f1,0.2037037037037037
ssm,squat,000101,123,seen,micro_f1,0.6666666666666666
ssm,squat,000101,123,seen,bit_accuracy,0.8333333333333334
ssm,squat,000101,123,seen,exact_match,0.2
ssm,squat,000101,123,unseen,macro_f1,0.2916666666666667
ssm,squat,000101,123,unseen,micro_f1,0.8
ssm,squat,000101,123,unseen,bit_accuracy,0.8666666666666667
ssm,squat,000101,123,unseen,exact_match,0.2
ssm,squat,000101,42,seen,macro_f1,0.2916666666666667
ssm,squat,000101,42,seen,micro_f1,0.7272727272727273
ssm,squat,000101,42,seen,bit_accuracy,0.8
ssm,squat,000101,42,seen,exact_match,0.2
ssm,squat,000101,42,unseen,macro_f1,0.2619047619047619
ssm,squat,000101,42,unseen,micro_f1,0.7
ssm,squat,000101,42,unseen,bit_accuracy,0.8
ssm,squat,000101,42,unseen,exact_match,0.0
ssm,squat,000101,7,seen,macro_f1,0.3
ssm,squat,000101,7,seen,micro_f1,0.625
ssm,squat,000101,7,seen,bit_accuracy,0.6666666666666666
ssm,squat,000101,7,seen,exact_match,0.0
ssm,squat,000101,7,unseen,macro_f1,0.3333333333333333
ssm,squat,000101,7,unseen,micro_f1,0.7058823529411765
ssm,squat,000101,7,unseen,bit_accuracy,0.7222222222222222
ssm,squat,000101,7,unseen,exact_match,0.0
ssm,squat,010101,123,seen,macro_f1,0.31746031746031744
ssm,squat,010101,123,seen,micro_f1,0.6956521739130435
ssm,squat,010101,123,seen,bit_accuracy,0.7666666666666667
ssm,squat,010101,123,seen,exact_match,0.0
ssm,squat,010101,123,unseen,macro_f1,0.15079365079365079
ssm,squat,010101,123,unseen,micro_f1,0.3157894736842105
ssm,squat,010101,123,unseen,bit_accuracy,0.5666666666666667
ssm,squat,010101,123,unseen,exact_match,0.0
ssm,squat,010101,42,seen,macro_f1,0.5
