model,exercise,target,seed,risk,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
gru,squat,000001,42,combined,330,0.30606060606060603,0.5001212645718535,0.6771153097842536,0.21533814262340772,0.7424242424242424,0.7929292929292929
gru,squat,000001,7,confidence,330,0.3,0.4034292179914972,0.6403865494774585,0.19680709624476894,0.7386363636363636,0.7575757575757576
gru,squat,000001,7,pressure,330,0.3,0.3979312483436991,0.4895054440508986,0.2929617817177931,0.7007575757575757,0.6919191919191919
gru,squat,000001,7,combined,330,0.3,0.4624947380483445,0.7096943460579825,0.15904526638587496,0.75,0.803030303030303
gru,squat,000101,123,confidence,132,0.29545454545454547,0.4862570978448564,0.7069203198235456,0.1607574025333253,0.7333333333333334,0.810126582278481
gru,squat,000101,123,pressure,132,0.29545454545454547,0.4365953709995943,0.6774193548387097,0.20634217599982072,0.7523809523809524,0.810126582278481
gru,squat,000101,123,combined,132,0.29545454545454547,0.3505453497564327,0.6134546457127101,0.20486736898185015,0.7238095238095238,0.7974683544303798
gru,squat,000101,42,confidence,132,0.2803030303030303,0.4191600469142548,0.6961593172119488,0.15162342197906772,0.7333333333333334,0.8354430379746836
gru,squat,000101,42,pressure,132,0.2803030303030303,0.3446853978093367,0.60099573257468,0.2523192034980678,0.7333333333333334,0.810126582278481
gru,squat,000101,42,combined,132,0.2803030303030303,0.40481872686106657,0.7081081081081081,0.14392364521601925,0.7619047619047619,0.8227848101265822
gru,squat,000101,7,confidence,132,0.3181818181818182,0.5011116377875058,0.6838624338624338,0.19854684386384874,0.7619047619047619,0.7848101265822784
gru,squat,000101,7,pressure,132,0.3181818181818182,0.3927839078215018,0.5968253968253968,0.3225460059599971,0.7238095238095238,0.7215189873417722
gru,squat,000101,7,combined,132,0.3181818181818182,0.5220350037516144,0.7243386243386243,0.18436700988806298,0.7428571428571429,0.810126582278481
gru,squat,010101,123,confidence,90,0.28888888888888886,0.38367723603103665,0.5829326923076923,0.2137969541075269,0.7222222222222222,0.7592592592592593
