model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000001000,42,9,1,0.0,42.0,930.0,159.0,0.8539944903581267,1.0,153.0,False
gru,cpr,0000000001000,42,10,0,0.85,5.0,120.0,969.0,0.11019283746556474,1.0,153.0,False
gru,cpr,0000000001000,42,11,0,0.2,7.0,97.0,992.0,0.08907254361799816,1.0,153.0,False
gru,cpr,0000000001000,42,12,0,0.95,7.0,107.0,982.0,0.09825528007346189,1.0,153.0,False
gru,cpr,0000000001000,7,0,0,0.5,12.0,214.0,875.0,0.19651056014692378,1.0,153.0,True
gru,cpr,0000000001000,7,1,0,1.0,7.0,87.0,1002.0,0.07988980716253444,1.0,153.0,True
gru,cpr,0000000001000,7,2,0,1.0,6.0,74.0,1015.0,0.06795224977043159,1.0,153.0,True
gru,cpr,0000000001000,7,3,0,1.0,9.0,169.0,920.0,0.155188246097337,1.0,153.0,False
gru,cpr,0000000001000,7,4,0,1.0,12.0,155.0,934.0,0.1423324150596878,1.0,153.0,False
gru,cpr,0000000001000,7,5,0,1.0,12.0,176.0,913.0,0.16161616161616163,1.0,153.0,False
gru,cpr,0000000001000,7,6,0,1.0,12.0,158.0,931.0,0.14508723599632692,1.0,153.0,False
gru,cpr,0000000001000,7,7,0,1.0,12.0,154.0,935.0,0.1414141414141414,1.0,153.0,False
gru,cpr,0000000001000,7,8,0,1.0,10.0,158.0,931.0,0.14508723599632692,1.0,153.0,False
gru,cpr,0000000001000,7,9,1,0.0,42.0,930.0,159.0,0.8539944903581267,1.0,153.0,False
gru,cpr,0000000001000,7,10,0,0.0,5.0,120.0,969.0,0.11019283746556474,1.0,153.0,False
gru,cpr,0000000001000,7,11,0,1.0,7.0,97.0,992.0,0.08907254361799816,1.0,153.0,False
gru,cpr,0000000001000,7,12,0,1.0,7.0,107.0,982.0,0.09825528007346189,1.0,153.0,False
gru,cpr,0000000001001,123,0,0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,64.0,True
gru,cpr,0000000001001,123,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,64.0,True
gru,cpr,0000000001001,123,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,64.0,True
gru,cpr,0000000001001,123,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,64.0,False
gru,cpr,0000000001001,123,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,64.0,False
gru,cpr,0000000001001,123,5,0,1.0,0.0,128.0,959.0,0.11775528978840846,2.0,64.0,False
gru,cpr,0000000001001,123,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,64.0,False
gru,cpr,0000000001001,123,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,64.0,False
gru,cpr,0000000001001,123,8,0,0.0,0.0,165.0,922.0,0.15179392824287027,2.0,64.0,False
gru,cpr,0000000001001,123,9,1,1.0,22.0,906.0,181.0,0.8334866605335787,2.0,64.0,False
gru,cpr,0000000001001,123,10,0,0.0,0.0,122.0,965.0,0.11223551057957681,2.0,64.0,False
gru,cpr,0000000001001,123,11,0,1.0,0.0,86.0,1001.0,0.07911683532658693,2.0,64.0,False
gru,cpr,0000000001001,123,12,1,0.0,42.0,998.0,89.0,0.9181232750689973,2.0,64.0,False
gru,cpr,0000000001001,42,0,0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,64.0,True
gru,cpr,0000000001001,42,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,64.0,True
gru,cpr,0000000001001,42,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,64.0,True
gru,cpr,0000000001001,42,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,64.0,False
gru,cpr,0000000001001,42,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,64.0,False
gru,cpr,0000000001001,42,5,0,0.8,0.0,128.0,959.0,0.11775528978840846,2.0,64.0,False
gru,cpr,0000000001001,42,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,64.0,False
gru,cpr,0000000001001,42,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,64.0,False
gru,cpr,0000000001001,42,8,0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,64.0,False
gru,cpr,0000000001001,42,9,1,0.4,22.0,906.0,181.0,0.8334866605335787,2.0,64.0,False
gru,cpr,0000000001001,42,10,0,0.0,0.0,122.0,965.0,0.11223551057957681,2.0,64.0,False
gru,cpr,0000000001001,42,11,0,1.0,0.0,86.0,1001.0,0.07911683532658693,2.0,64.0,False
gru,cpr,0000000001001,42,12,1,0.2,42.0,998.0,89.0,0.9181232750689973,2.0,64.0,False
gru,cpr,0000000001001,7,0,0,0.8,0.0,185.0,902.0,0.1701931922723091,2.0,64.0,True
gru,cpr,0000000001001,7,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,64.0,True
gru,cpr,0000000001001,7,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,64.0,True
gru,cpr,0000000001001,7,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,64.0,False
gru,cpr,0000000001001,7,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,64.0,False
gru,cpr,0000000001001,7,5,0,1.0,0.0,128.0,959.0,0.11775528978840846,2.0,64.0,False
gru,cpr,0000000001001,7,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,64.0,False
gru,cpr,0000000001001,7,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,64.0,False
gru,cpr,0000000001001,7,8,0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,64.0,False
gru,cpr,0000000001001,7,9,1,0.0,22.0,906.0,181.0,0.8334866605335787,2.0,64.0,False
gru,cpr,0000000001001,7,10,0,0.8,0.0,122.0,965.0,0.11223551057957681,2.0,64.0,False
gru,cpr,0000000001001,7,11,0,1.0,0.0,86.0,1001.0,0.07911683532658693,2.0,64.0,False
gru,cpr,0000000001001,7,12,1,1.0,42.0,998.0,89.0,0.9181232750689973,2.0,64.0,False
gru,cpr,0000000001010,123,0,0,0.8,0.0,185.0,902.0,0.1701931922723091,2.0,62.0,True
gru,cpr,0000000001010,123,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,62.0,True
gru,cpr,0000000001010,123,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,62.0,True
gru,cpr,0000000001010,123,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,62.0,False
gru,cpr,0000000001010,123,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,62.0,False
gru,cpr,0000000001010,123,5,0,1.0,0.0,128.0,959.0,0.11775528978840846,2.0,62.0,False
gru,cpr,0000000001010,123,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,62.0,False
gru,cpr,0000000001010,123,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,62.0,False
gru,cpr,0000000001010,123,8,0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,62.0,False
gru,cpr,0000000001010,123,9,1,1.0,20.0,906.0,181.0,0.8334866605335787,2.0,62.0,False
gru,cpr,0000000001010,123,10,0,0.8,0.0,122.0,965.0,0.11223551057957681,2.0,62.0,False
gru,cpr,0000000001010,123,11,1,1.0,42.0,1008.0,79.0,0.9273229070837167,2.0,62.0,False
gru,cpr,0000000001010,123,12,0,0.6,0.0,96.0,991.0,0.08831646734130635,2.0,62.0,False
gru,cpr,0000000001010,42,0,0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,62.0,True
gru,cpr,0000000001010,42,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,62.0,True
gru,cpr,0000000001010,42,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,62.0,True
gru,cpr,0000000001010,42,3,0,0.5,0.0,171.0,916.0,0.15731370745170192,2.0,62.0,False
gru,cpr,0000000001010,42,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,62.0,False
gru,cpr,0000000001010,42,5,0,0.5,0.0,128.0,959.0,0.11775528978840846,2.0,62.0,False
