model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000101000,7,57.333333333333336,1.0,1.0,42.0,930.0,157.0,0.8555657773689053,2.0,82.0,0.0
gru,cpr,0000000101000,8,57.333333333333336,0.0,0.7333333333333334,0.0,165.0,922.0,0.15179392824287027,2.0,82.0,0.0
gru,cpr,0000000101000,9,57.333333333333336,1.0,0.0,40.0,916.0,171.0,0.8426862925482981,2.0,82.0,0.0
gru,cpr,0000000101000,10,57.333333333333336,0.0,0.13333333333333333,0.0,122.0,965.0,0.11223551057957681,2.0,82.0,0.0
gru,cpr,0000000101000,11,57.333333333333336,0.0,0.5333333333333333,0.0,91.0,996.0,0.08371665133394664,2.0,82.0,0.0
gru,cpr,0000000101000,12,57.333333333333336,0.0,0.4666666666666666,0.0,101.0,986.0,0.09291628334866604,2.0,82.0,0.0
gru,cpr,0000000110000,0,57.333333333333336,0.0,0.6666666666666666,0.0,185.0,902.0,0.1701931922723091,2.0,82.0,1.0
gru,cpr,0000000110000,1,57.333333333333336,0.0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,82.0,1.0
gru,cpr,0000000110000,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,82.0,1.0
gru,cpr,0000000110000,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,82.0,0.0
gru,cpr,0000000110000,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,82.0,0.0
gru,cpr,0000000110000,5,57.333333333333336,0.0,0.9333333333333332,0.0,128.0,959.0,0.11775528978840848,2.0,82.0,0.0
gru,cpr,0000000110000,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,82.0,0.0
gru,cpr,0000000110000,7,57.333333333333336,1.0,1.0,42.0,930.0,157.0,0.8555657773689053,2.0,82.0,0.0
