checkpoint,model,exercise,target,seed,criterion,criterion_name,target_bit,perturbation,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,1,Straight back (0.5) L,0,temporal_mean,22,6,0,0.6818181818181818,0.6384690403938293,-0.032885853201150894,-0.014337388798594475,-0.01854846440255642,0.019277319312095642,0.08885139226913452,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,2,Full back leg extended (0.5 point) L,1,zero,22,6,54,0.6363636363636364,0.5453963875770569,0.3409567177295685,0.028342314064502716,0.31261441111564636,0.11057393252849579,0.21953612565994263,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,2,Full back leg extended (0.5 point) L,1,temporal_mean,22,6,54,0.6363636363636364,0.5453963875770569,-0.20483173429965973,-0.050404053181409836,-0.1544276773929596,0.07225523144006729,0.1088481917977333,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,3,Slow reverse movement (0.5 point) L,0,zero,22,8,33,0.13636363636363635,0.33437833189964294,-0.39109116792678833,-0.07689214497804642,-0.3141990303993225,0.08460936695337296,0.2089104801416397,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,3,Slow reverse movement (0.5 point) L,0,temporal_mean,22,8,33,0.13636363636363635,0.33437833189964294,0.05144139751791954,0.03231371194124222,0.019127685576677322,0.03211300075054169,0.14859510958194733,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,4,Support knee bend 15-20° (0.5 point) L,0,zero,22,6,5,0.6363636363636364,0.6656399369239807,-0.2604851722717285,-0.06913430243730545,-0.19135087728500366,0.10979790985584259,0.23706406354904175,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,22,6,5,0.6363636363636364,0.6656399369239807,0.28291720151901245,0.041110649704933167,0.24180655181407928,0.03788799047470093,0.09867451339960098,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,0,Balance (0.5 point) F,0,zero,22,12,0,0.8636363636363636,0.7549131512641907,0.15688765048980713,0.06682243198156357,0.09006521850824356,0.1062098890542984,0.0,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,0,Balance (0.5 point) F,0,temporal_mean,22,12,0,0.8636363636363636,0.7549131512641907,0.08493116497993469,0.016485314816236496,0.0684458464384079,0.02879437990486622,0.0,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,1,Straight back (0.5) L,0,zero,22,6,0,0.8181818181818182,0.7554973363876343,0.18829740583896637,0.04932132363319397,0.1389760822057724,0.16166941821575165,0.1595117449760437,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,1,Straight back (0.5) L,0,temporal_mean,22,6,0,0.8181818181818182,0.7554973363876343,-0.1453472524881363,-0.02968364767730236,-0.11566360294818878,0.050594814121723175,0.08513288199901581,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,2,Full back leg extended (0.5 point) L,1,zero,22,6,54,0.36363636363636365,0.4910542666912079,0.013988310471177101,0.02226920798420906,-0.00828089751303196,0.21842637658119202,0.12864135205745697,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,2,Full back leg extended (0.5 point) L,1,temporal_mean,22,6,54,0.36363636363636365,0.4910542666912079,-0.1291617453098297,-0.028590556234121323,-0.10057118535041809,0.05599017068743706,0.16131691634655,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,3,Slow reverse movement (0.5 point) L,0,zero,22,8,33,0.18181818181818182,0.2713504731655121,-0.2632289528846741,-0.031526029109954834,-0.23170292377471924,0.18073414266109467,0.13734279572963715,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,3,Slow reverse movement (0.5 point) L,0,temporal_mean,22,8,33,0.18181818181818182,0.2713504731655121,-0.15614737570285797,-0.051162172108888626,-0.10498520731925964,0.061700303107500076,0.19009599089622498,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,4,Support knee bend 15-20° (0.5 point) L,0,zero,22,6,5,0.9545454545454546,0.9156647324562073,0.022574763745069504,-0.017266543582081795,0.03984130918979645,0.04048191010951996,0.15842367708683014,343
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s7.pt,fact,deadlift,00100,7,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,22,6,5,0.9545454545454546,0.9156647324562073,0.3272700905799866,0.029350679367780685,0.2979194223880768,0.05848448723554611,0.15253569185733795,343
results/context_evidence/v2/checkpoints\fact_deadlift_00110_s123.pt,fact,deadlift,00110,123,0,Balance (0.5 point) F,0,zero,33,12,0,0.7878787878787878,0.7725920081138611,0.2249070107936859,0.029903152957558632,0.19500385224819183,0.08263147622346878,0.0,159
