model,perturbation,exercise,target,criterion,seed,target_bit,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
fact,temporal_mean,squat,101,0,57.333333333333336,0.0,22.0,10.0,28.666666666666668,0.8787878787878789,0.7951965729395548,0.11393348375956215,0.0319119064758221,0.08202157666285831,0.059078574180603,0.0,140.0
fact,temporal_mean,squat,101,1,57.333333333333336,0.0,22.0,8.0,10.0,0.787878787878788,0.6957714259624481,-0.11751656855146082,-0.03329259552992877,-0.08422397348719333,0.05533069341133034,0.06616684918602304,140.0
fact,temporal_mean,squat,101,2,57.333333333333336,0.0,22.0,8.0,0.0,0.9848484848484849,0.9149413506189982,-0.010330977772052134,-0.0025348420022055667,-0.007796135769846567,0.010208183201029834,0.10196673125028603,140.0
fact,temporal_mean,squat,101,3,57.333333333333336,1.0,22.0,8.0,40.0,0.3636363636363636,0.40641096234321594,0.1535331372482081,0.042929337127134204,0.11060380128522711,0.07954625692218541,0.07074814103543753,140.0
fact,temporal_mean,squat,101,4,57.333333333333336,0.0,22.0,6.0,0.0,1.0,0.837080717086792,0.11116483807563776,0.014751071731249434,0.09641376510262485,0.022689869006474767,0.08567509303490317,140.0
fact,temporal_mean,squat,101,5,57.333333333333336,1.0,22.0,6.0,5.0,0.6363636363636364,0.6039007902145386,0.07662219367921347,0.009143806722325567,0.06747838482260697,0.029665823715428433,0.07626836126049356,140.0
fact,temporal_mean,squat,10101,0,57.333333333333336,0.0,15.0,10.0,1.6666666666666667,0.4222222222222222,0.44250976542631787,0.08685199171304703,0.04908813225726286,0.03776386007666586,0.0659266797204812,0.0,31.0
fact,temporal_mean,squat,10101,1,57.333333333333336,1.0,15.0,8.0,15.333333333333334,0.15555555555555553,0.23691862076520917,0.0478748089323441,0.021007307494680064,0.026867502679427432,0.04020566369096434,0.07139272615313523,31.0
fact,temporal_mean,squat,10101,2,57.333333333333336,0.0,15.0,8.0,5.333333333333333,0.8888888888888888,0.8401004672050476,-0.0345177544901768,0.0037426029642423004,-0.038260359317064264,0.042994363854328733,0.0837340503931045,31.0
fact,temporal_mean,squat,10101,3,57.333333333333336,1.0,15.0,8.0,0.0,0.2888888888888889,0.38339152932167053,0.06609846279025074,0.018365985403458202,0.04773247862855587,0.045254360884428,0.08091264466444646,31.0
fact,temporal_mean,squat,10101,4,57.333333333333336,0.0,15.0,6.0,0.0,0.9111111111111111,0.8309759497642517,0.0501418604981154,0.0036946089821867333,0.04644724967268599,0.029444596536147033,0.07121851419409113,31.0
fact,temporal_mean,squat,10101,5,57.333333333333336,1.0,15.0,6.0,5.0,0.8888888888888888,0.81907852490743,-0.01751141374309857,-0.0146936331875622,-0.0028177791585525004,0.023073411236206667,0.0756609626114368,31.0
fact,temporal_mean,squat,100001,0,57.333333333333336,1.0,52.0,10.0,42.333333333333336,0.6474358974358975,0.6189071238040924,0.20075303067763642,0.047093215398490366,0.15365981683135024,0.0812888368964195,0.0,26.333333333333332
fact,temporal_mean,squat,100001,1,57.333333333333336,0.0,52.0,8.0,0.0,0.8205128205128206,0.8187543352444967,0.008208961846927798,0.010041515498111633,-0.001832554737726801,0.023453644787271733,0.105878693362077,26.333333333333332
fact,temporal_mean,squat,100001,2,57.333333333333336,0.0,52.0,8.0,18.333333333333332,0.6858974358974358,0.689988931020101,-0.14847901960213974,-0.0426895183821519,-0.10578950246175123,0.08263704304893806,0.10500706235567724,26.333333333333332
fact,temporal_mean,squat,100001,3,57.333333333333336,0.0,52.0,8.0,29.666666666666668,0.5705128205128205,0.5753835042317709,0.0038006355365116976,0.0162071771919727,-0.012406540413697603,0.04592529808481533,0.1084219639499982,26.333333333333332
fact,temporal_mean,squat,100001,4,57.333333333333336,0.0,52.0,6.0,1.6666666666666667,0.8653846153846154,0.8024078210194906,0.12454473227262493,0.013596263093252932,0.11094847073157628,0.05115216970443723,0.06286595637599623,26.333333333333332
fact,temporal_mean,squat,100001,5,57.333333333333336,1.0,52.0,6.0,1.0,0.8205128205128206,0.7063271601994833,0.05751784394184747,-0.001394302273790067,0.05891214435299236,0.028333701814214334,0.08734106644988056,26.333333333333332
fact,temporal_mean,squat,100101,0,57.333333333333336,1.0,36.0,10.0,17.0,0.8148148148148149,0.7636582851409912,0.08252642055352527,0.009436127419273065,0.07309029002984363,0.0635339443882306,0.0,29.0
fact,temporal_mean,squat,100101,1,57.333333333333336,0.0,36.0,8.0,0.3333333333333333,0.6481481481481481,0.6110072533289591,-0.16557352741559347,-0.039545835927128736,-0.1260276933511098,0.07876216496030483,0.11811930934588107,29.0
fact,temporal_mean,squat,100101,2,57.333333333333336,0.0,36.0,8.0,0.0,0.6018518518518519,0.6210442781448364,-0.1658042768637339,-0.07352414851387337,-0.0922801283498605,0.06704560170571007,0.12339028467734653,29.0
fact,temporal_mean,squat,100101,3,57.333333333333336,1.0,36.0,8.0,44.666666666666664,0.5925925925925926,0.545258363087972,0.11724463601907091,0.05613732027510796,0.06110731760660807,0.08814236273368192,0.12040783713261283,29.0
fact,temporal_mean,squat,100101,4,57.333333333333336,0.0,36.0,6.0,0.0,0.9444444444444445,0.8204135100046793,0.0673680296167731,0.008137347875162968,0.05923068306098377,0.029021587222814532,0.11986437439918514,29.0
fact,temporal_mean,squat,100101,5,57.333333333333336,1.0,36.0,6.0,0.0,0.7962962962962963,0.6765759984652201,0.0836347403625647,0.002364659992357033,0.0812700800597667,0.04193981612722073,0.12875447422265998,29.0
fact,temporal_mean,squat,101001,0,57.333333333333336,1.0,25.0,10.0,4.666666666666667,0.8533333333333334,0.7938726544380188,0.44173158208529156,0.08438415577014284,0.35734741886456806,0.0708785293002923,0.0,171.66666666666666
fact,temporal_mean,squat,101001,1,57.333333333333336,0.0,25.0,8.0,0.0,0.6133333333333334,0.5964348713556925,-0.026810221374034868,0.0053140604092429,-0.0321242815504471,0.03747953909138837,0.07838993643720941,171.66666666666666
fact,temporal_mean,squat,101001,2,57.333333333333336,1.0,25.0,8.0,43.333333333333336,0.19999999999999998,0.2249421402812004,0.0657359012014543,0.02033757728834947,0.04539832410713033,0.043676649220287765,0.0775328824917475,171.66666666666666
fact,temporal_mean,squat,101001,3,57.333333333333336,0.0,25.0,8.0,0.0,0.6933333333333334,0.6370741029580435,-0.0357138272374868,-0.007674982286213633,-0.028038844621429766,0.029790505766868536,0.07140484203894927,171.66666666666666
fact,temporal_mean,squat,101001,4,57.333333333333336,0.0,25.0,6.0,0.0,0.9466666666666667,0.7965487639109293,-0.010776014998555164,-0.012885471029827933,0.0021094561864932657,0.022087276602784766,0.04858585384984804,171.66666666666666
fact,temporal_mean,squat,101001,5,57.333333333333336,1.0,25.0,6.0,0.0,0.7866666666666666,0.6695289015769958,-0.0400058440864086,-0.01860807090997693,-0.02139777317643164,0.027566420535246498,0.06598465641339617,171.66666666666666
fact,zero,deadlift,0,0,57.333333333333336,0.0,69.0,12.0,0.0,0.6666666666666666,0.5752356648445129,0.02168810367584231,0.016670476295985268,0.005017625788847628,0.06656702980399126,0.0,145.66666666666666
