model,exercise,target,seed,split,metric,value
gru,deadlift,11110,123,test,micro_f1,0.2978723404255319
gru,deadlift,11110,123,test,bit_accuracy,0.34
gru,deadlift,11110,123,test,exact_match,0.0
gru,deadlift,11110,42,val,macro_f1,0.39588235294117646
gru,deadlift,11110,42,val,micro_f1,0.6862745098039216
gru,deadlift,11110,42,val,bit_accuracy,0.7538461538461538
gru,deadlift,11110,42,val,exact_match,0.21153846153846154
gru,deadlift,11110,42,test,macro_f1,0.3894736842105263
gru,deadlift,11110,42,test,micro_f1,0.6440677966101694
gru,deadlift,11110,42,test,bit_accuracy,0.58
gru,deadlift,11110,42,test,exact_match,0.0
gru,deadlift,11110,7,val,macro_f1,0.38765538490486157
gru,deadlift,11110,7,val,micro_f1,0.5989847715736041
gru,deadlift,11110,7,val,bit_accuracy,0.6961538461538461
gru,deadlift,11110,7,val,exact_match,0.19230769230769232
gru,deadlift,11110,7,test,macro_f1,0.3484480431848853
gru,deadlift,11110,7,test,micro_f1,0.5185185185185185
gru,deadlift,11110,7,test,bit_accuracy,0.48
gru,deadlift,11110,7,test,exact_match,0.0
gru,squat,000000,123,val,macro_f1,0.541938222424991
gru,squat,000000,123,val,micro_f1,0.6571428571428571
gru,squat,000000,123,val,bit_accuracy,0.7037037037037037
gru,squat,000000,123,val,exact_match,0.18518518518518517
gru,squat,000000,123,test,macro_f1,0.0
gru,squat,000000,123,test,micro_f1,0.0
gru,squat,000000,123,test,bit_accuracy,0.6862745098039216
gru,squat,000000,123,test,exact_match,0.0
gru,squat,000000,42,val,macro_f1,0.5541879033534892
gru,squat,000000,42,val,micro_f1,0.7032258064516129
gru,squat,000000,42,val,bit_accuracy,0.7160493827160493
gru,squat,000000,42,val,exact_match,0.2222222222222222
gru,squat,000000,42,test,macro_f1,0.0
gru,squat,000000,42,test,micro_f1,0.0
gru,squat,000000,42,test,bit_accuracy,0.6078431372549019
gru,squat,000000,42,test,exact_match,0.0
gru,squat,000000,7,val,macro_f1,0.5569317952330054
gru,squat,000000,7,val,micro_f1,0.6993464052287581
gru,squat,000000,7,val,bit_accuracy,0.7160493827160493
gru,squat,000000,7,val,exact_match,0.18518518518518517
gru,squat,000000,7,test,macro_f1,0.0
gru,squat,000000,7,test,micro_f1,0.0
gru,squat,000000,7,test,bit_accuracy,0.5882352941176471
gru,squat,000000,7,test,exact_match,0.0
gru,squat,000001,123,val,macro_f1,0.5424605376741891
gru,squat,000001,123,val,micro_f1,0.5609756097560976
gru,squat,000001,123,val,bit_accuracy,0.6326530612244898
gru,squat,000001,123,val,exact_match,0.16326530612244897
gru,squat,000001,123,test,macro_f1,0.15533980582524273
gru,squat,000001,123,test,micro_f1,0.4682926829268293
gru,squat,000001,123,test,bit_accuracy,0.6696969696969697
gru,squat,000001,123,test,exact_match,0.0
gru,squat,000001,42,val,macro_f1,0.5398146498311317
gru,squat,000001,42,val,micro_f1,0.5793650793650794
gru,squat,000001,42,val,bit_accuracy,0.6394557823129252
gru,squat,000001,42,val,exact_match,0.16326530612244897
gru,squat,000001,42,test,macro_f1,0.15873015873015872
gru,squat,000001,42,test,micro_f1,0.4975124378109453
gru,squat,000001,42,test,bit_accuracy,0.693939393939394
gru,squat,000001,42,test,exact_match,0.0
gru,squat,000001,7,val,macro_f1,0.5195509571520801
gru,squat,000001,7,val,micro_f1,0.6349206349206349
gru,squat,000001,7,val,bit_accuracy,0.6870748299319728
gru,squat,000001,7,val,exact_match,0.24489795918367346
gru,squat,000001,7,test,macro_f1,0.15181518151815182
gru,squat,000001,7,test,micro_f1,0.4816753926701571
gru,squat,000001,7,test,bit_accuracy,0.7
gru,squat,000001,7,test,exact_match,0.0
gru,squat,000101,123,val,macro_f1,0.4737129454983294
gru,squat,000101,123,val,micro_f1,0.5957446808510638
gru,squat,000101,123,val,bit_accuracy,0.7067901234567902
gru,squat,000101,123,val,exact_match,0.24074074074074073
gru,squat,000101,123,test,macro_f1,0.25894465894465896
gru,squat,000101,123,test,micro_f1,0.5894736842105263
gru,squat,000101,123,test,bit_accuracy,0.7045454545454546
gru,squat,000101,123,test,exact_match,0.09090909090909091
gru,squat,000101,42,val,macro_f1,0.4463160810383033
gru,squat,000101,42,val,micro_f1,0.5352112676056338
gru,squat,000101,42,val,bit_accuracy,0.6944444444444444
gru,squat,000101,42,val,exact_match,0.18518518518518517
gru,squat,000101,42,test,macro_f1,0.2205837173579109
gru,squat,000101,42,test,micro_f1,0.5432098765432098
gru,squat,000101,42,test,bit_accuracy,0.7196969696969697
gru,squat,000101,42,test,exact_match,0.09090909090909091
gru,squat,000101,7,val,macro_f1,0.4864685504721995
gru,squat,000101,7,val,micro_f1,0.5934718100890207
gru,squat,000101,7,val,bit_accuracy,0.5771604938271605
gru,squat,000101,7,val,exact_match,0.037037037037037035
gru,squat,000101,7,test,macro_f1,0.27390180878552967
gru,squat,000101,7,test,micro_f1,0.6037735849056604
gru,squat,000101,7,test,bit_accuracy,0.6818181818181818
gru,squat,000101,7,test,exact_match,0.045454545454545456
gru,squat,010101,123,val,macro_f1,0.4717606769330908
gru,squat,010101,123,val,micro_f1,0.5714285714285714
gru,squat,010101,123,val,bit_accuracy,0.6727272727272727
gru,squat,010101,123,val,exact_match,0.2545454545454545
gru,squat,010101,123,test,macro_f1,0.36521739130434777
gru,squat,010101,123,test,micro_f1,0.6666666666666666
