model,exercise,target,condition,metric,value
gru,cpr,0000100001000,seen,bit_accuracy,0.8435897435897436
gru,cpr,0000100001000,seen,exact_match,0.06666666666666667
gru,cpr,0000100001000,seen,macro_f1,0.08547008547008546
gru,cpr,0000100001000,seen,micro_f1,0.5148148148148147
gru,cpr,0000100001000,unseen,bit_accuracy,0.8692307692307693
gru,cpr,0000100001000,unseen,exact_match,0.0
gru,cpr,0000100001000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000100001000,unseen,micro_f1,0.5576259489302967
gru,cpr,0000100010000,seen,bit_accuracy,0.9256410256410256
gru,cpr,0000100010000,seen,exact_match,0.26666666666666666
gru,cpr,0000100010000,seen,macro_f1,0.15384615384615385
gru,cpr,0000100010000,seen,micro_f1,0.8162948162948163
gru,cpr,0000100010000,unseen,bit_accuracy,0.9025641025641026
gru,cpr,0000100010000,unseen,exact_match,0.19999999999999998
gru,cpr,0000100010000,unseen,macro_f1,0.12820512820512822
gru,cpr,0000100010000,unseen,micro_f1,0.7111111111111111
gru,cpr,0000100100000,seen,bit_accuracy,0.9435897435897437
gru,cpr,0000100100000,seen,exact_match,0.43333333333333335
gru,cpr,0000100100000,seen,macro_f1,0.1452991452991453
gru,cpr,0000100100000,seen,micro_f1,0.8341269841269842
gru,cpr,0000100100000,unseen,bit_accuracy,0.8435897435897436
gru,cpr,0000100100000,unseen,exact_match,0.0
gru,cpr,0000100100000,unseen,macro_f1,0.09401709401709402
gru,cpr,0000100100000,unseen,micro_f1,0.5322943722943723
gru,cpr,0000101000000,seen,bit_accuracy,0.9282051282051281
gru,cpr,0000101000000,seen,exact_match,0.06666666666666667
gru,cpr,0000101000000,seen,macro_f1,0.15384615384615385
gru,cpr,0000101000000,seen,micro_f1,0.8111111111111112
gru,cpr,0000101000000,unseen,bit_accuracy,0.923076923076923
gru,cpr,0000101000000,unseen,exact_match,0.26666666666666666
gru,cpr,0000101000000,unseen,macro_f1,0.14285714285714288
gru,cpr,0000101000000,unseen,micro_f1,0.7870255348516219
gru,cpr,0001000000000,seen,bit_accuracy,0.9461538461538462
gru,cpr,0001000000000,seen,exact_match,0.43333333333333335
gru,cpr,0001000000000,seen,macro_f1,0.07341661187815034
gru,cpr,0001000000000,seen,micro_f1,0.7501339333547626
gru,cpr,0001000000000,unseen,bit_accuracy,0.9038461538461539
gru,cpr,0001000000000,unseen,exact_match,0.06666666666666667
gru,cpr,0001000000000,unseen,macro_f1,0.06947890818858561
gru,cpr,0001000000000,unseen,micro_f1,0.5692426688189399
gru,cpr,0001000000001,seen,bit_accuracy,0.7307692307692308
gru,cpr,0001000000001,seen,exact_match,0.0
gru,cpr,0001000000001,seen,macro_f1,0.10826210826210825
gru,cpr,0001000000001,seen,micro_f1,0.4384929123527566
gru,cpr,0001000000001,unseen,bit_accuracy,0.7717948717948718
gru,cpr,0001000000001,unseen,exact_match,0.0
gru,cpr,0001000000001,unseen,macro_f1,0.09615384615384615
gru,cpr,0001000000001,unseen,micro_f1,0.4677814938684504
gru,cpr,0001000000100,seen,bit_accuracy,0.7974358974358974
gru,cpr,0001000000100,seen,exact_match,0.0
gru,cpr,0001000000100,seen,macro_f1,0.09157509157509158
gru,cpr,0001000000100,seen,micro_f1,0.46736596736596736
gru,cpr,0001000000100,unseen,bit_accuracy,0.8307692307692308
gru,cpr,0001000000100,unseen,exact_match,0.0
gru,cpr,0001000000100,unseen,macro_f1,0.07692307692307693
gru,cpr,0001000000100,unseen,micro_f1,0.49318181818181817
gru,cpr,0001000001000,seen,bit_accuracy,0.8769230769230769
gru,cpr,0001000001000,seen,exact_match,0.06666666666666667
gru,cpr,0001000001000,seen,macro_f1,0.10256410256410257
gru,cpr,0001000001000,seen,micro_f1,0.6164021164021164
gru,cpr,0001000001000,unseen,bit_accuracy,0.8564102564102564
gru,cpr,0001000001000,unseen,exact_match,0.0
gru,cpr,0001000001000,unseen,macro_f1,0.10256410256410257
gru,cpr,0001000001000,unseen,micro_f1,0.5740740740740741
gru,cpr,0001000010000,seen,bit_accuracy,0.9435897435897437
gru,cpr,0001000010000,seen,exact_match,0.3333333333333333
gru,cpr,0001000010000,seen,macro_f1,0.12535612535612536
gru,cpr,0001000010000,seen,micro_f1,0.800552104899931
gru,cpr,0001000010000,unseen,bit_accuracy,0.8384615384615385
gru,cpr,0001000010000,unseen,exact_match,0.06666666666666667
gru,cpr,0001000010000,unseen,macro_f1,0.1047008547008547
gru,cpr,0001000010000,unseen,micro_f1,0.5505723905723906
gru,cpr,0001000100000,seen,bit_accuracy,0.8743589743589744
gru,cpr,0001000100000,seen,exact_match,0.26666666666666666
gru,cpr,0001000100000,seen,macro_f1,0.10826210826210825
gru,cpr,0001000100000,seen,micro_f1,0.6148148148148148
gru,cpr,0001000100000,unseen,bit_accuracy,0.8871794871794871
gru,cpr,0001000100000,unseen,exact_match,0.0
gru,cpr,0001000100000,unseen,macro_f1,0.08547008547008546
gru,cpr,0001000100000,unseen,micro_f1,0.5833333333333334
gru,cpr,0001001000000,seen,bit_accuracy,0.9487179487179488
gru,cpr,0001001000000,seen,exact_match,0.6666666666666666
gru,cpr,0001001000000,seen,macro_f1,0.13675213675213674
gru,cpr,0001001000000,seen,micro_f1,0.8333333333333334
gru,cpr,0001001000000,unseen,bit_accuracy,0.923076923076923
gru,cpr,0001001000000,unseen,exact_match,0.3333333333333333
gru,cpr,0001001000000,unseen,macro_f1,0.09401709401709402
gru,cpr,0001001000000,unseen,micro_f1,0.6666666666666666
gru,cpr,0001010000000,seen,bit_accuracy,0.805128205128205
gru,cpr,0001010000000,seen,exact_match,0.0
gru,cpr,0001010000000,seen,macro_f1,0.09971509971509972
gru,cpr,0001010000000,seen,micro_f1,0.47972027972027975
gru,cpr,0001010000000,unseen,bit_accuracy,0.7871794871794872
gru,cpr,0001010000000,unseen,exact_match,0.0
gru,cpr,0001010000000,unseen,macro_f1,0.054945054945054944
gru,cpr,0001010000000,unseen,micro_f1,0.3186226435654353
gru,cpr,0001100000000,seen,bit_accuracy,0.8615384615384616
gru,cpr,0001100000000,seen,exact_match,0.3333333333333333
gru,cpr,0001100000000,seen,macro_f1,0.09615384615384615
gru,cpr,0001100000000,seen,micro_f1,0.5565217391304348
gru,cpr,0001100000000,unseen,bit_accuracy,0.817948717948718
gru,cpr,0001100000000,unseen,exact_match,0.0
gru,cpr,0001100000000,unseen,macro_f1,0.05698005698005698
gru,cpr,0001100000000,unseen,micro_f1,0.35185185185185186
gru,cpr,0010000000000,seen,bit_accuracy,0.9371794871794871
gru,cpr,0010000000000,seen,exact_match,0.5
gru,cpr,0010000000000,seen,macro_f1,0.06719717064544652
gru,cpr,0010000000000,seen,micro_f1,0.6990127758420441
gru,cpr,0010000000000,unseen,bit_accuracy,0.9205128205128205
gru,cpr,0010000000000,unseen,exact_match,0.4666666666666666
gru,cpr,0010000000000,unseen,macro_f1,0.06593406593406594
gru,cpr,0010000000000,unseen,micro_f1,0.6333333333333333
gru,cpr,0010000000001,seen,bit_accuracy,0.8205128205128206
gru,cpr,0010000000001,seen,exact_match,0.0
gru,cpr,0010000000001,seen,macro_f1,0.10256410256410257
gru,cpr,0010000000001,seen,micro_f1,0.5328585707146427
gru,cpr,0010000000001,unseen,bit_accuracy,0.805128205128205
gru,cpr,0010000000001,unseen,exact_match,0.0
gru,cpr,0010000000001,unseen,macro_f1,0.07692307692307693
gru,cpr,0010000000001,unseen,micro_f1,0.4523809523809524
gru,cpr,0010000000100,seen,bit_accuracy,0.858974358974359
gru,cpr,0010000000100,seen,exact_match,0.16666666666666666
gru,cpr,0010000000100,seen,macro_f1,0.10582010582010581
